X Position,Y Position,Deviation from GR,Deviation from DGQG,P-Value,Confidence Level,New Physics Evidence,Systematic Error Likelihood
-2.372549019607843,-5.0,-7.061780358402116e-09,-7.076255185689255e-09,0.48557838529515496,0.514421614704845,False,False
-2.3333333333333335,-5.0,-7.789847330841811e-09,-7.809296856108613e-09,0.4855783852648474,0.5144216147351526,False,False
-2.2941176470588234,-5.0,-8.579223600493726e-09,-8.603697119896954e-09,0.4855783852319877,0.5144216147680123,False,False
-2.2549019607843137,-5.0,-9.433455075513959e-09,-9.462720314835104e-09,0.48557838519642826,0.5144216148035717,False,False
-2.215686274509804,-5.0,-1.0356113209520855e-08,-1.0389611151190847e-08,0.48557838515802043,0.5144216148419796,False,False
-2.1764705882352944,-5.0,-1.1350772383130777e-08,-1.1387583599378998e-08,0.48557838511661533,0.5144216148833847,False,False
-2.1372549019607843,-5.0,-1.2420986040661517e-08,-1.2459812957997625e-08,0.4855783850720652,0.5144216149279348,False,False
-2.0980392156862746,-5.0,-1.3570261603791163e-08,-1.3609430824031875e-08,0.4855783850242238,0.5144216149757762,False,False
-2.058823529411765,-5.0,-1.4802029353130456e-08,-1.4839517511109573e-08,0.4855783849729485,0.5144216150270515,False,False
-2.019607843137255,-5.0,-1.6119613404063515e-08,-1.6153099051716607e-08,0.4855783849181009,0.5144216150818991,False,False
-1.9803921568627452,-5.0,-1.752619863013081e-08,-1.7553141327083156e-08,0.4855783848595484,0.5144216151404516,False,False
-1.9411764705882355,-5.0,-1.9024795862668773e-08,-1.9042542076868803e-08,0.48557838479716575,0.5144216152028342,False,False
-1.9019607843137254,-5.0,-2.061820627677459e-08,-2.0624119930040844e-08,0.48557838473083614,0.5144216152691639,False,False
-1.8627450980392157,-5.0,-2.2308984699845097e-08,-2.2300598325526875e-08,0.48557838466045344,0.5144216153395466,False,False
-1.823529411764706,-5.0,-2.4099396963382713e-08,-2.4074577582326198e-08,0.4855783845859233,0.5144216154140767,False,False
-1.784313725490196,-5.0,-2.5991385640109602e-08,-2.5948507719266158e-08,0.48557838450716473,0.5144216154928353,False,False
-1.7450980392156863,-5.0,-2.7986527633583708e-08,-2.7924643983006222e-08,0.48557838442411216,0.5144216155758878,False,False
-1.7058823529411766,-5.0,-3.008599439292672e-08,-3.000499469288881e-08,0.48557838433671685,0.5144216156632831,False,False
-1.6666666666666665,-5.0,-3.229051190931685e-08,-3.2191257844703063e-08,0.4855783842449485,0.5144216157550515,False,False
-1.6274509803921569,-5.0,-3.4600322447469376e-08,-3.448474825645757e-08,0.48557838414879706,0.5144216158512029,False,False
-1.5882352941176472,-5.0,-3.70151463524811e-08,-3.6886314052449224e-08,0.48557838404827425,0.5144216159517258,False,False
-1.549019607843137,-5.0,-3.9534146277578085e-08,-3.939624597658221e-08,0.4855783839434148,0.5144216160565852,False,False
-1.5098039215686274,-5.0,-4.215589135235313e-08,-4.201417892856563e-08,0.4855783838342784,0.5144216161657216,False,False
-1.4705882352941178,-5.0,-4.487832924480755e-08,-4.4738996285749364e-08,0.4855783837209504,0.5144216162790496,False,False
-1.431372549019608,-5.0,-4.769875557774533e-08,-4.756872978093401e-08,0.48557838360354333,0.5144216163964567,False,False
-1.392156862745098,-5.0,-5.061379015975308e-08,-5.050046831962537e-08,0.48557838348219806,0.5144216165178019,False,False
-1.3529411764705883,-5.0,-5.361935893461926e-08,-5.35302790296385e-08,0.48557838335708403,0.514421616642916,False,False
-1.3137254901960786,-5.0,-5.671067216171771e-08,-5.665313569644743e-08,0.48557838322840075,0.5144216167715993,False,False
-1.2745098039215685,-5.0,-5.988222186760504e-08,-5.986288223703442e-08,0.48557838309637735,0.5144216169036226,False,False
-1.2352941176470589,-5.0,-6.312777194706797e-08,-6.315220883660369e-08,0.48557838296127354,0.5144216170387265,False,False
-1.1960784313725492,-5.0,-6.644036071695313e-08,-6.651266405376943e-08,0.48557838282337906,0.5144216171766209,False,False
-1.156862745098039,-5.0,-6.981230785594934e-08,-6.993469719776112e-08,0.4855783826830137,0.5144216173169863,False,False
-1.1176470588235294,-5.0,-7.323522903502303e-08,-7.340773516038005e-08,0.48557838254052643,0.5144216174594736,False,False
-1.0784313725490198,-5.0,-7.670005561459187e-08,-7.692029017584593e-08,0.4855783823962947,0.5144216176037053,False,False
-1.0392156862745097,-5.0,-8.019706294884408e-08,-8.046009919298502e-08,0.48557838225072336,0.5144216177492766,False,False
-1.0,-5.0,-8.371590316875411e-08,-8.401428590554756e-08,0.4855783821042432,0.5144216178957568,False,False
-0.9607843137254903,-5.0,-8.724564817413266e-08,-8.756954453909008e-08,0.48557838195730907,0.5144216180426909,False,False
-0.9215686274509807,-5.0,-9.077483736887988e-08,-9.111233184031411e-08,0.48557838181039814,0.5144216181896019,False,False
-0.882352941176471,-5.0,-9.429153247241519e-08,-9.462906057541309e-08,0.48557838166400724,0.5144216183359928,False,False
-0.8431372549019605,-5.0,-9.77833790575859e-08,-9.810628486892829e-08,0.48557838151865085,0.5144216184813492,False,False
-0.8039215686274508,-5.0,-1.0123767353273165e-07,-1.015308672028182e-07,0.48557838137485754,0.5144216186251425,False,False
-0.7647058823529411,-5.0,-1.0464143421341032e-07,-1.0489011795332432e-07,0.48557838123316777,0.5144216187668322,False,False
-0.7254901960784315,-5.0,-1.0798148283837912e-07,-1.0817190781496929e-07,0.4855783810941303,0.5144216189058697,False,False
-0.6862745098039218,-5.0,-1.1124452453030027e-07,-1.113647373623632e-07,0.4855783809582983,0.5144216190417017,False,False
-0.6470588235294121,-5.0,-1.1441723476424941e-07,-1.1445777112652189e-07,0.4855783808262266,0.5144216191737734,False,False
-0.6078431372549016,-5.0,-1.1748634882541834e-07,-1.1744083314586076e-07,0.48557838069846737,0.5144216193015326,False,False
-0.5686274509803919,-5.0,-1.204387500443392e-07,-1.2030436432284776e-07,0.4855783805755667,0.5144216194244333,False,False
-0.5294117647058822,-5.0,-1.2326156736694812e-07,-1.2303935847067934e-07,0.4855783804580601,0.5144216195419399,False,False
-0.4901960784313726,-5.0,-1.259422661154011e-07,-1.2563726909942833e-07,0.4855783803464696,0.5144216196535304,False,False
-0.4509803921568629,-5.0,-1.2846873437642898e-07,-1.2808989892913194e-07,0.4855783802412993,0.5144216197587007,False,False
-0.41176470588235325,-5.0,-1.3082928871474898e-07,-1.303892061805865e-07,0.48557838014303556,0.5144216198569644,False,False
-0.3725490196078436,-5.0,-1.3301162733498528e-07,-1.3252606636258982e-07,0.48557838005219045,0.5144216199478095,False,False
-0.33333333333333304,-5.0,-1.3499262066784982e-07,-1.3447988983096893e-07,0.48557837996972686,0.5144216200302731,False,False
-0.2941176470588234,-5.0,-1.3667242883210276e-07,-1.361525940772781e-07,0.4855783798998008,0.5144216201001992,False,False
-0.2549019607843137,-5.0,-1.375854789910356e-07,-1.370794720297667e-07,0.485578379861793,0.514421620138207,False,False
-0.21568627450980404,-5.0,-1.3611581246601615e-07,-1.3564447285170842e-07,0.48557837992297137,0.5144216200770286,False,False
-0.17647058823529438,-5.0,-1.286210992184533e-07,-1.282041974825132e-07,0.4855783802349567,0.5144216197650433,False,False
-0.13725490196078471,-5.0,-1.111704562846214e-07,-1.1082574786042135e-07,0.4855783809613816,0.5144216190386184,False,False
-0.09803921568627416,-5.0,-8.706339360199271e-08,-8.680575311580216e-08,0.4855783819648959,0.5144216180351041,False,False
-0.0588235294117645,-5.0,-7.389155008419412e-08,-7.37322328000838e-08,0.4855783825132055,0.5144216174867945,False,False
-0.019607843137254832,-5.0,-9.298016213931104e-08,-9.292623388370105e-08,0.48557838171859624,0.5144216182814038,False,False
0.019607843137254832,-5.0,-1.3838389449221123e-07,-1.384378633672689e-07,0.485578379828557,0.514421620171443,False,False
