X Position,Y Position,GR Shear Correlation,DGQG Shear Correlation,Deviation from GR,Deviation from DGQG
-0.8039215686274508,-5.0,1.0123767477555007e-07,1.0153086844563663e-07,-1.0123767353273165e-07,-1.015308672028182e-07
-0.7647058823529411,-5.0,1.0464143559004603e-07,1.0489011932996002e-07,-1.0464143421341032e-07,-1.0489011795332432e-07
-0.7254901960784315,-5.0,1.0798148453180348e-07,1.0817190950839365e-07,-1.0798148283837912e-07,-1.0817190781496929e-07
-0.6862745098039218,-5.0,1.1124452680883624e-07,1.1136473964089917e-07,-1.1124452453030027e-07,-1.113647373623632e-07
-0.6470588235294121,-5.0,1.1441723770708762e-07,1.1445777406936009e-07,-1.1441723476424941e-07,-1.1445777112652189e-07
-0.6078431372549016,-5.0,1.174863517194573e-07,1.1744083603989973e-07,-1.1748634882541834e-07,-1.1744083314586076e-07
-0.5686274509803919,-5.0,1.204387538657358e-07,1.2030436814424437e-07,-1.204387500443392e-07,-1.2030436432284776e-07
-0.5294117647058822,-5.0,1.2326157233805412e-07,1.2303936344178535e-07,-1.2326156736694812e-07,-1.2303935847067934e-07
-0.4901960784313726,-5.0,1.2594227156565732e-07,1.2563727454968454e-07,-1.259422661154011e-07,-1.2563726909942833e-07
-0.4509803921568629,-5.0,1.2846874476322707e-07,1.2808990931593002e-07,-1.2846873437642898e-07,-1.2808989892913194e-07
-0.41176470588235325,-5.0,1.30829405009387e-07,1.3038932247522452e-07,-1.3082928871474898e-07,-1.303892061805865e-07
-0.3725490196078436,-5.0,1.3301327389700536e-07,1.325277129246099e-07,-1.3301162733498528e-07,-1.3252606636258982e-07
-0.33333333333333304,-5.0,1.3501006680482245e-07,1.3449733596794157e-07,-1.3499262066784982e-07,-1.3447988983096893e-07
-0.2941176470588234,-5.0,1.3681027386097903e-07,1.3629043910615437e-07,-1.3667242883210276e-07,-1.361525940772781e-07
-0.2549019607843137,-5.0,1.3840523570311036e-07,1.3789922874184145e-07,-1.375854789910356e-07,-1.370794720297667e-07
-0.21568627450980404,-5.0,1.3978721318654703e-07,1.393158735722393e-07,-1.3611581246601615e-07,-1.3564447285170842e-07
-0.17647058823529438,-5.0,1.4094945025131263e-07,1.4053254851537252e-07,-1.286210992184533e-07,-1.282041974825132e-07
-0.13725490196078471,-5.0,1.418862292293118e-07,1.4154152080511174e-07,-1.111704562846214e-07,-1.1082574786042135e-07
-0.09803921568627416,-5.0,1.4259291795442302e-07,1.4233527746823246e-07,-8.706339360199271e-08,-8.680575311580216e-08
-0.0588235294117645,-5.0,1.430660081290404e-07,1.429066908449301e-07,-7.389155008419412e-08,-7.37322328000838e-08
-0.019607843137254832,-5.0,1.4330314449962642e-07,1.4324921624401643e-07,-9.298016213931104e-08,-9.292623388370105e-08
0.019607843137254832,-5.0,1.4330314449962642e-07,1.433571133746841e-07,-1.3838389449221123e-07,-1.384378633672689e-07
0.0588235294117645,-5.0,1.430660081290404e-07,1.4322568103436298e-07,-9.274301875700026e-08,-9.290269166232284e-08
0.09803921568627416,-5.0,1.4259291795442302e-07,1.4285149283988335e-07,-7.341846151708866e-08,-7.3677036402549e-08
0.13725490196078383,-5.0,1.418862292293118e-07,1.4223262074954935e-07,-8.635671277318638e-08,-8.670310429342394e-08
0.17647058823529438,-5.0,1.4094945025131263e-07,1.4136883289586535e-07,-1.1023367979492165e-07,-1.1065306243947437e-07
0.21568627450980404,-5.0,1.3978721318654703e-07,1.4026175294169834e-07,-1.2745886065978763e-07,-1.2793340041493895e-07
0.2549019607843137,-5.0,1.3840523570311036e-07,1.3891496982124385e-07,-1.347338338853133e-07,-1.352435680034468e-07
0.2941176470588234,-5.0,1.3681027386097903e-07,1.373340892738204e-07,-1.359905172098408e-07,-1.3651433262268218e-07
0.33333333333333304,-5.0,1.3501006680482245e-07,1.3552672186733856e-07,-1.3487222239719914e-07,-1.3538887745971525e-07
0.3725490196078427,-5.0,1.330132738970056e-07,1.335024059935372e-07,-1.3299582814992734e-07,-1.3348496024645895e-07
0.41176470588235325,-5.0,1.30829405009387e-07,1.3127246828644514e-07,-1.3082775839481024e-07,-1.3127082167186838e-07
0.4509803921568629,-5.0,1.2846874476322707e-07,1.2884982772582224e-07,-1.284686282430623e-07,-1.2884971120565748e-07
0.4901960784313726,-5.0,1.2594227156565732e-07,1.2624875300657765e-07,-1.25942261104212e-07,-1.2624874254513232e-07
0.5294117647058822,-5.0,1.2326157233805412e-07,1.234845853043042e-07,-1.232615678597e-07,-1.234845808259501e-07
0.5686274509803919,-5.0,1.204387538657358e-07,1.205734401535047e-07,-1.2043875024821377e-07,-1.2057343653598267e-07
0.6078431372549016,-5.0,1.174863517194573e-07,1.175319026930467e-07,-1.1748634843702124e-07,-1.1753189941061063e-07
0.6470588235294112,-5.0,1.1441723770708762e-07,1.1437673004736384e-07,-1.1441723481579522e-07,-1.1437672715607144e-07
0.6862745098039218,-5.0,1.1124452680883624e-07,1.111245732247646e-07,-1.1124452394731776e-07,-1.1112457036324612e-07
0.7254901960784315,-5.0,1.0798148453180348e-07,1.0779172882229549e-07,-1.0798148221108959e-07,-1.077917265015816e-07
0.7647058823529411,-5.0,1.0464143559004603e-07,1.0439392826836569e-07,-1.0464143334445479e-07,-1.0439392602277445e-07
0.8039215686274508,-5.0,1.0123767477555007e-07,1.0094616955761112e-07,-1.01237672751135e-07,-1.0094616753319605e-07
0.8431372549019605,-5.0,9.778338083441448e-08,9.746259366613715e-08,-9.77833792771367e-08,-9.746259210885936e-08
0.8823529411764701,-5.0,9.429153410223846e-08,9.395640526870877e-08,-9.429153239054694e-08,-9.395640355701725e-08
0.9215686274509807,-5.0,9.0774838584388e-08,9.043983515140247e-08,-9.077483727146949e-08,-9.043983383848396e-08
0.9607843137254903,-5.0,8.724564909176238e-08,8.692413990958124e-08,-8.724564824971081e-08,-8.692413906752967e-08
1.0,-5.0,8.371590396226127e-08,8.341963317989203e-08,-8.371590314603961e-08,-8.341963236367037e-08
