Multipole Moment (l),White Hole Detection Ratio
1154.4689378757516,4.6595649797924066e-76
1160.4609218436874,4.76835335611061e-77
1166.4529058116234,4.809780910050379e-78
1172.4448897795592,4.782073988690254e-79
1178.4368737474952,4.686425708759083e-80
1184.428857715431,4.526910772288125e-81
1190.420841683367,4.3101975778548274e-82
1196.4128256513027,4.045085967465624e-83
1202.4048096192387,3.7419152453246397e-84
1208.3967935871744,3.4118978869776983e-85
1214.3887775551102,3.0664385097595808e-86
1220.3807615230462,2.7164950458275485e-87
1226.372745490982,2.3720304288777723e-88
1232.364729458918,2.0415900109138586e-89
1238.3567134268537,1.7320243680645905e-90
1244.3486973947897,1.448361264290022e-91
1250.3406813627255,1.193816252177872e-92
1256.3326653306615,9.69920180692535e-94
1262.3246492985973,7.767346237673618e-95
1268.3166332665332,6.131231697345532e-96
1274.308617234469,4.770472723136556e-97
1280.300601202405,3.658591812337782e-98
1286.2925851703408,2.7657032241630968e-99
1292.2845691382765,2.0608030650144608e-100
1298.2765531062125,1.513585375933747e-101
1304.2685370741483,1.095764143775526e-102
1310.2605210420843,7.819287651017685e-104
1316.25250501002,5.499933604928328e-105
1322.244488977956,3.813186630299774e-106
1328.2364729458918,2.6059089541934986e-107
1334.2284569138278,1.7553801258769716e-108
1340.2204408817636,1.1655316634106524e-109
1346.2124248496996,7.628130799025833e-111
1352.2044088176353,4.921001923012913e-112
1358.1963927855713,3.129179503941021e-113
1364.188376753507,1.9613231100603843e-114
1370.180360721443,1.2117407856001682e-115
1376.1723446893789,7.379253002922764e-117
1382.1643286573146,4.429526970593009e-118
1388.1563126252506,2.620865614867686e-119
1394.1482965931864,1.5285328773783939e-120
1400.1402805611224,8.787141464085302e-122
1406.1322645290581,4.979244191950877e-123
1412.1242484969941,2.7811369521493537e-124
1418.11623246493,1.531174314227357e-125
1424.108216432866,8.309413462865184e-127
1430.1002004008017,4.444876930655141e-128
1436.0921843687377,2.343650839115932e-129
1442.0841683366734,1.218063800214134e-130
1448.0761523046094,6.240096075081818e-132
1454.0681362725452,3.1510608101582738e-133
1460.060120240481,1.568435681131944e-134
1466.052104208417,7.695223097632944e-136
1472.0440881763527,3.72152069386473e-137
1478.0360721442887,1.7740445840883903e-138
1484.0280561122245,8.335921882711245e-140
1490.0200400801605,3.860894196075451e-141
1496.0120240480962,1.762655599090202e-142
1502.0040080160322,7.932178340315185e-144
1507.995991983968,3.518544550959607e-145
1513.987975951904,1.538435720314275e-146
1519.9799599198398,6.630427147218919e-148
1525.9719438877758,2.8167587081006284e-149
1531.9639278557115,1.1795161768923602e-150
1537.9559118236475,4.8686034893600204e-152
1543.9478957915833,1.980848624329685e-153
