Multipole Moment (l),White Hole B-mode Anisotropy,Inflationary B-mode Spectrum
531.3026052104209,2.9257992350093433e-15,1.4226674122935711e-08
537.2945891783568,1.3130109725511691e-15,1.3800224944071844e-08
543.2865731462927,5.808380348793386e-16,1.3390721846600214e-08
549.2785571142285,2.5328215816512117e-16,1.2997322390496134e-08
555.2705410821644,1.0887220212125179e-16,1.2619234389509274e-08
561.2625250501003,4.613093692079326e-17,1.225571242026599e-08
567.2545090180361,1.926772333930365e-17,1.1906054607560902e-08
573.2464929859719,7.93288917150688e-18,1.1569599661368882e-08
579.2384769539078,3.2195504192540074e-18,1.1245724143504046e-08
585.2304609218437,1.288018002281824e-18,1.0933839943991074e-08
591.2224448897796,5.079389233871141e-19,1.0633391949126901e-08
597.2144288577155,1.9745308056387057e-19,1.0343855884922413e-08
603.2064128256513,7.566223956565998e-20,1.0064736321147936e-08
609.1983967935872,2.857967783989903e-20,9.79556482258239e-09
615.1903807615231,1.0641389127899027e-20,9.53589823530222e-09
621.182364729459,3.905729650216915e-21,9.285317096957349e-09
627.1743486973949,1.4130869688609318e-21,9.043424160981836e-09
633.1663326653307,5.03962779900437e-22,8.809843025588113e-09
639.1583166332666,1.771702887238425e-22,8.584216859206475e-09
645.1503006012025,6.139686294940874e-23,8.366207214765387e-09
651.1422845691383,2.0973182160453768e-23,8.155492925871434e-09
657.1342685370741,7.062286547844008e-24,7.951769078547375e-09
663.12625250501,2.3441705165093684e-24,7.754746052730346e-09
669.1182364729459,7.67000986519402e-25,7.564148628223962e-09
675.1102204408818,2.4738052356683687e-25,7.379715150245053e-09
681.1022044088177,7.864985834832887e-26,7.201196750110808e-09
687.0941883767536,2.4648656002752662e-26,7.02835661698067e-09
693.0861723446894,7.614675516644098e-27,6.860969316902185e-09
699.0781563126253,2.3188487270881347e-27,6.698820155714982e-09
705.0701402805612,6.960754114475655e-28,6.541704582644971e-09
711.0621242484971,2.059695529338472e-28,6.389427631673868e-09
717.054108216433,6.007760602173975e-29,6.2418033980005224e-09
723.0460921843688,1.7273687932897507e-29,6.098654547121371e-09
729.0380761523047,4.8957629211251405e-30,5.959811854250246e-09
735.0300601202405,1.3677872367288141e-30,5.825113771974245e-09
741.0220440881764,3.766860816688676e-31,5.694406024203589e-09
747.0140280561122,1.0225945149384238e-31,5.5675412246215975e-09
753.0060120240481,2.736466922178948e-32,5.444378517976011e-09
758.997995991984,7.218381069946163e-33,5.324783242677634e-09
764.9899799599199,1.876948111440344e-33,5.208626613286093e-09
770.9819639278558,4.810913922010589e-34,5.095785421567395e-09
776.9739478957916,1.2155302322459586e-34,4.986141754904393e-09
782.9659318637275,3.0273790556903385e-35,4.879582730929714e-09
788.9579158316634,7.432427777038654e-36,4.776000247332385e-09
794.9498997995993,1.7986946880024462e-36,4.6752907458644465e-09
800.9418837675352,4.290886876078804e-37,4.577354989642995e-09
806.933867735471,1.0090194472198774e-37,4.482097852907035e-09
812.9258517034069,2.3389173036191278e-38,4.389428122447279e-09
818.9178356713428,5.344327400266722e-39,4.2992583099814724e-09
824.9098196392786,1.2037439106633347e-39,4.211504474798046e-09
830.9018036072144,2.6726248939404985e-40,4.126086056037219e-09
836.8937875751503,5.849311824120359e-41,4.042925714021777e-09
842.8857715430862,1.2619274789276483e-41,3.961949180089288e-09
848.8777555110221,2.6836562077016765e-42,3.883085114414473e-09
854.869739478958,5.625773201711786e-43,3.80626497134439e-09
860.8617234468938,1.1625199624523591e-43,3.7314228718007996e-09
866.8537074148297,2.3679987950798696e-44,3.6584954823332853e-09
872.8456913827656,4.7547248898122886e-45,3.5874219004339185e-09
878.8376753507015,9.4109218868628e-46,3.518143545749539e-09
884.8296593186374,1.8361231337455924e-46,3.45060405685108e-09
890.8216432865732,3.5312974010108003e-47,3.3847491932412545e-09
896.8136272545091,6.694677269168708e-48,3.3205267423020977e-09
902.805611222445,1.2510879910638073e-48,3.2578864309027426e-09
908.7975951903808,2.304670928859607e-49,3.196779841405387e-09
914.7895791583167,4.1849748320127026e-50,3.137160331823636e-09
920.7815631262525,7.49099722245429e-51,3.0789829599027815e-09
926.7735470941884,1.3217498815962768e-51,3.022204410905595e-09
932.7655310621243,2.2989090128698148e-52,2.9667829289005756e-09
938.7575150300602,3.9414601891530324e-53,2.9126782513618708e-09
944.749498997996,6.66124434144483e-54,2.859851546901593e-09
950.7414829659319,1.1097277417442866e-54,2.808265355966075e-09
956.7334669338678,1.8223860412736027e-55,2.7578835343375687e-09
962.7254509018037,2.9500350511425157e-56,2.7086711992923733e-09
968.7174348697396,4.7073536912847764e-57,2.6605946782750848e-09
974.7094188376755,7.404390991954977e-58,2.6136214599569025e-09
980.7014028056113,1.1480603430570832e-58,2.567720147553633e-09
986.6933867735472,1.7547002823255107e-59,2.5228604142861737e-09
992.685370741483,2.64365047353611e-60,2.479012960873057e-09
998.6773547094189,3.926159896222487e-61,2.436149474950902e-09
1004.6693386773547,5.747709221515966e-62,2.3942425923245553e-09
1010.6613226452906,8.294390036412237e-63,2.3532658599542712e-09
1016.6533066132265,1.1798776577048832e-63,2.313193700592431e-09
1022.6452905811624,1.6544450966529857e-64,2.2740013789872565e-09
1028.6372745490983,2.286812725628147e-65,2.2356649695754865e-09
1034.629258517034,3.115815258115502e-66,2.198161325590357e-09
1040.62124248497,4.184809161213563e-67,2.161468049515205e-09
1046.6132264529058,5.54041727115038e-68,2.125563464816877e-09
1052.6052104208418,7.230563586689367e-69,2.0904265888966396e-09
1058.5971943887776,9.301750443291842e-70,2.0560371071997145e-09
1064.5891783567135,1.1795601070114096e-70,2.022375348427645e-09
1070.5811623246493,1.4744781029917403e-71,1.9894222608007585e-09
1076.5731462925853,1.8168515225176886e-72,1.957159389320707e-09
1082.565130260521,2.2068021865533585e-73,1.9255688539858004e-09
1088.557114228457,2.642227647930971e-74,1.8946333289142103e-09
1094.5490981963928,3.1184581369233113e-75,1.8643360223326128e-09
1100.5410821643288,3.6280433083630183e-76,1.834660657389895e-09
1106.5330661322646,4.160714013219802e-77,1.8055914537577585e-09
1112.5250501002006,4.703553921518727e-78,1.7771131099819233e-09
1118.5170340681364,5.2413993116666866e-79,1.7492107865495581e-09
1124.5090180360721,5.757463934190128e-80,1.7218700896402566e-09
1130.5010020040081,6.234161712741214e-81,1.6950770555295694e-09
1136.4929859719439,6.654076042451255e-82,1.668818135615657e-09
1142.4849699398799,7.001003815722721e-83,1.6430801820410624e-09
1148.4769539078156,7.260988144842552e-84,1.6178504338830602e-09
1154.4689378757516,7.423248507309403e-85,1.5931165038872975e-09
1160.4609218436874,7.480922062317615e-86,1.568866365720727e-09
1166.4529058116234,7.431545128357851e-87,1.5450883417209742e-09
1172.4448897795592,7.277227755217187e-88,1.5217710911204409e-09
1178.4368737474952,7.024504154542882e-89,1.4989035987244442e-09
1184.428857715431,6.683873761681384e-90,1.4764751640237572e-09
1190.420841683367,6.269077842896526e-91,1.454475390722778e-09
1196.4128256513027,5.7961810787994895e-92,1.432894176665552e-09
1202.4048096192387,5.282543546000734e-93,1.4117217041426128e-09
1208.3967935871744,4.74577435716242e-94,1.390948430562507e-09
1214.3887775551102,4.202753742899072e-95,1.3705650794725546e-09
1220.3807615230462,3.668796815726305e-96,1.3505626319141752e-09
1226.372745490982,3.157012023574558e-97,1.3309323180987711e-09
1232.364729458918,2.6778834426409313e-98,1.3116656093907885e-09
1238.3567134268537,2.2390818147791705e-99,1.2927542105852518e-09
1244.3486973947897,1.8454875261371141e-100,1.2741900524675974e-09
1250.3406813627255,1.499391774672026e-101,1.2559652846442101e-09
1256.3326653306615,1.20083128145095e-102,1.2380722686326066e-09
1262.3246492985973,9.480073836841705e-104,1.2205035712006922e-09
1268.3166332665332,7.377416551957684e-105,1.203251957945001e-09
1274.308617234469,5.659261346525467e-106,1.1863103870982933e-09
1280.300601202405,4.279352417129861e-107,1.1696720035572896e-09
1286.2925851703408,3.1897688685580657e-108,1.153330133121773e-09
1292.2845691382765,2.34370655929186e-109,1.1372782769366214e-09
1298.2765531062125,1.6975012957895304e-110,1.121510106128766e-09
