,Time (s),Filtered Strain
405112,1187008881.3041992,-5.3026399726914785e-21
405113,1187008881.3044434,-4.104860616052601e-21
405117,1187008881.30542,-3.978267345231421e-21
405118,1187008881.305664,-5.044667770550099e-21
405119,1187008881.3059082,-5.517241479037961e-21
405120,1187008881.3061523,-5.094368387507971e-21
405121,1187008881.3063965,-3.9494169102095905e-21
405127,1187008881.307861,-3.534068447019057e-21
405147,1187008881.312744,3.478685655798786e-21
405148,1187008881.3129883,4.126644503599449e-21
405149,1187008881.3132324,4.08690727022038e-21
405150,1187008881.3134766,3.5577058018248166e-21
405154,1187008881.3144531,4.164682604618756e-21
405155,1187008881.3146973,5.0500892909340025e-21
405156,1187008881.3149414,5.512418588810263e-21
405157,1187008881.3151855,5.363336721881032e-21
405158,1187008881.3154297,4.7666286542633956e-21
405159,1187008881.3156738,4.147687484733035e-21
405160,1187008881.315918,3.953822880620547e-21
405161,1187008881.316162,4.400206710153726e-21
405162,1187008881.3164062,5.344024871542886e-21
405163,1187008881.3166504,6.35762502014393e-21
405164,1187008881.3168943,6.960529864604242e-21
405165,1187008881.317139,6.881945547702124e-21
405166,1187008881.3173828,6.2086613597864745e-21
405167,1187008881.317627,5.336897147338081e-21
405168,1187008881.317871,4.75505022963591e-21
405169,1187008881.3181152,4.777304840599925e-21
405170,1187008881.3183594,5.374507306728108e-21
405171,1187008881.3186035,6.19444992602782e-21
405172,1187008881.3188477,6.759121651649462e-21
405173,1187008881.3190918,6.729384305394184e-21
405174,1187008881.319336,6.091198230569529e-21
405175,1187008881.31958,5.1614995889171015e-21
405176,1187008881.3198242,4.411482399193677e-21
405177,1187008881.3200684,4.205369537269626e-21
405178,1187008881.3203125,4.598753234178108e-21
405179,1187008881.3205566,5.3073133554040505e-21
405180,1187008881.3208008,5.862787637740383e-21
405181,1187008881.321045,5.8702086279125554e-21
405182,1187008881.321289,5.225041821865711e-21
405183,1187008881.3215332,4.1711463569694415e-21
