Multipole Moment (l),CMB-S4 SNR,LiteBIRD SNR,Simons Observatory SNR
741.0220440881764,1.01330056106889e-24,1.6074306574934995e-24,1.2270321271557668e-24
747.0140280561122,2.757421024807158e-25,4.372437002543056e-25,3.338175819596375e-25
753.0060120240481,7.396576287230841e-26,1.172405193012117e-25,8.952108528756522e-26
758.997995991984,1.955785660692335e-26,3.098808685254471e-26,2.366488121602284e-26
764.9899799599199,5.097704219567616e-27,8.073738040840418e-27,6.166605668753812e-27
770.9819639278558,1.3097574190683423e-27,2.073563801018507e-27,1.5839843462539619e-27
776.9739478957916,3.317187039258898e-28,5.2495612780571855e-28,4.0106840559443694e-28
782.9659318637275,8.281555394872614e-29,1.310060870755286e-28,1.0010341102275792e-28
788.9579158316634,2.0380588537207512e-29,3.2227216708459486e-29,2.462873805584121e-29
794.9498997995993,4.9440674802718074e-30,7.814784065861975e-30,5.973079591523335e-30
800.9418837675352,1.182265228809001e-30,1.86798774977541e-30,1.4279641438435751e-30
806.933867735471,2.786816047616878e-31,4.401431263458695e-31,3.365109198604825e-31
812.9258517034069,6.47536937813969e-32,1.0222960498264312e-31,7.817067816620822e-32
818.9178356713428,1.4831451305984825e-32,2.3405735884475275e-32,1.7899935094753665e-32
824.9098196392786,3.3486180351184413e-33,5.282393818464423e-33,4.040377011202851e-33
830.9018036072144,7.452644961903196e-34,1.1751738275858767e-33,8.989906714493884e-34
836.8937875751503,1.6350013336180744e-34,2.5771298658823822e-34,1.971747676146721e-34
842.8857715430862,3.53580779419586e-35,5.571002531522613e-35,4.2629510783519175e-35
848.8777555110221,7.53740836028306e-36,1.187116294800628e-35,9.085152432766172e-36
854.869739478958,1.5838655030293964e-36,2.493538255271751e-36,1.9086089090747735e-36
860.8617234468938,3.28078230071221e-37,5.1629945095550155e-37,3.952433154396533e-37
866.8537074148297,6.698836614634077e-38,1.0537804801490042e-37,8.068168863073077e-38
872.8456913827656,1.3482928024601619e-38,2.1201251340082079e-38,1.623485011391241e-38
878.8376753507015,2.6750500096062867e-39,4.204706616189337e-39,3.2202118678689815e-39
884.8296593186374,5.231695435268794e-40,8.22001784802623e-40,6.296271801873019e-40
890.8216432865732,1.0085927919020894e-40,1.5840638441205636e-40,1.2135155555936486e-40
896.8136272545091,1.916691095799482e-41,3.009091964455899e-41,2.3055263303541175e-41
902.805611222445,3.590469560134699e-42,5.634574157548265e-42,4.317751898350454e-42
