Frequency (Hz),White Hole SGWB,LISA Sensitivity
0.0006945177773823697,5.096974092013151e-15,4.298103279701161e-36
0.0007140151304013404,4.880109812630387e-15,3.8475285387952864e-36
0.0007340598369757212,4.672216856665354e-15,3.444189131852935e-36
0.0007546672630843886,4.472928444961874e-15,3.083133212481568e-36
0.0007758532060787836,4.2818927453706054e-15,2.759928053798897e-36
0.0007976339067929281,4.0987722643137925e-15,2.4706056273041605e-36
0.0008200260619934131,3.92324326310348e-15,2.2116138869081963e-36
0.0008430468371788967,3.754995198006161e-15,1.9797731600304947e-36
0.0008667138797389233,3.593730183087748e-15,1.7722371103713803e-36
0.0008910453324821513,3.4391624749120112e-15,1.5864577930944535e-36
0.0009160598475443709,3.2910179782033132e-15,1.4201543733974411e-36
0.000941776600686952,3.149033771620829e-15,1.271285124425682e-36
0.0009682153059967086,3.0129576528258197e-15,1.1380223607429957e-36
0.0009953962309984233,2.8825477020571527e-15,1.0187299996152852e-36
0.0010233402121916423,2.757571863461885e-15,9.119434746238346e-37
0.0010520686710236227,2.6378075434586496e-15,8.163517550054303e-37
0.0010816036303107094,2.523041225440662e-15,7.3078124996839145e-37
0.0011119677311206989,2.413068100153676e-15,6.541814003759642e-37
0.0011431842501291502,2.307691711111006e-15,5.8561178090432594e-37
0.0011752771174629451,2.206723614433807e-15,5.2423055432684774e-37
0.001208270935044776,2.109983052529655e-15,4.692841361764442e-37
0.0012421909954526173,2.017296641046384e-15,4.200979428978173e-37
0.0012770633013086446,1.928498068560988e-15,3.7606810990351955e-37
0.0013129145852124654,1.8434278084853986e-15,3.366540778553941e-37
0.0013497723302339417,1.7619328426920244e-15,3.0137195615226656e-37
0.0013876647909813085,1.6838663963821931e-15,2.6978858214662436e-37
0.0014266210152607385,1.6090876837399885e-15,2.415162031545546e-37
0.0014666708663439686,1.5374616639326044e-15,2.162077159693208e-37
0.001507845045861051,1.4688588070362018e-15,1.935524054335112e-37
0.0015501751173357704,1.403154869483404e-15,1.7327212975169495e-37
0.001593693530381776,1.3402306786449476e-15,1.5511790571019553e-37
0.0016384336455779846,1.279971926173804e-15,1.3886685188030726e-37
0.001684429760042315,1.2222689697552076e-15,1.2431945227629265e-37
0.0017317171337233527,1.167016642920545e-15,1.1129710687375621e-37
0.0017803320164301137,1.1141140725969531e-15,9.963993891580719e-38
0.0018303116756206129,1.06346450407785e-15,8.920483208704367e-38
0.0018816944249705557,1.014975133112424e-15,7.98636734575028e-38
0.0019345196537440444,9.685569448243949e-16,7.150178062498629e-38
0.0019888278569888096,9.241245591821744e-16,6.401649374559814e-38
0.0020446606665791177,8.815960827538349e-16,5.731591516668015e-38
0.002102060883130158,8.408929664911572e-16,5.131778118846527e-38
0.0021610725088083765,8.019398692974559e-16,4.594845210292996e-38
0.0022217407810628848,7.646645271438592e-16,4.114200811043146e-38
0.0022841122073038256,7.289976275083024e-16,3.683944001458673e-38
0.0023482346005542763,6.948726889206845e-16,3.2987924759456093e-38
0.002414157116103018,6.622259454064699e-16,2.9540176914714405e-38
0.002481930289186255,6.309962356294919e-16,2.64538681469149e-38
0.0025516060737271863,6.011248965427961e-16,2.36911075496233e-38
0.0026232378821631234,5.725556613641958e-16,2.1217976452372544e-38
0.0026968806263906924,5.452345617006586e-16,1.9004111997231326e-38
0.002772590759860481,5.191098336528385e-16,1.7022334370506487e-38
0.0028504263208534346,4.941318277379237e-16,1.5248313113056739e-38
0.0029304469769721444,4.702529224756038e-16,1.3660268412470109e-38
0.003012714070881164,4.474274414882625e-16,1.223870370983228e-38
0.0030972906673314067,4.2561157397261087e-16,1.0966166338267652e-38
0.003184241601504653,4.047632984057962e-16,9.82703325458359e-39
0.0032736335287152475,3.848423093546207e-16,8.807319233419303e-39
0.0033655349755070943,3.658099472618676e-16,7.894505169075935e-39
0.003460016392185109,3.476291310889014e-16,7.077384377068847e-39
0.0035571502068213858,3.3026429369864785e-16,6.34592500842817e-39
0.003657010880777493,3.1368131986780097e-16,5.691146887591192e-39
0.003759674965785468,2.9784748682165925e-16,5.105011261810764e-39
0.003865221162631262,2.8273140718937123e-16,4.58032210852009e-39
0.003973730381485609,2.68302974281558e-16,4.110637788992814e-39
0.004085285803928565,2.545333095963062e-16,3.690191963659765e-39
0.004199972946715306,2.4139471246338256e-16,3.313822798150264e-39
0.004317879727332021,2.2886061174023566e-16,2.976909590912299e-39
0.004439096531392171,2.169055194769015e-16,2.6753160443813965e-39
0.0045637162819247585,2.0550498647034362e-16,2.405339483231578e-39
0.004691834510607799,1.946355596320265e-16,2.163665396254828e-39
0.004823549431001467,1.842747410956801e-16,1.9473267437746125e-39
0.004958962013837212,1.7440094899520475e-16,1.7536675310055293e-39
0.005098176064420424,1.6499347984558135e-16,1.5803102001452014e-39
0.0052412983022060615,1.5603247246241168e-16,1.4251264408672151e-39
0.005388438442608223,1.474988733583791e-16,1.286211060852124e-39
0.005539709281106401,1.3937440355747904e-16,1.1618585955620398e-39
0.005695226779712825,1.316415267703133e-16,1.0505423700943236e-39
0.005855110155867244,1.2428341887609182e-16,9.508957560543106e-40
0.006019481973827274,1.1728393865923708e-16,8.61695393335537e-40
0.006188468238624382,1.106275997506482e-16,7.818461708193727e-40
0.006362198492657489,1.0429954372574855e-16,7.1036778160038255e-40
0.006540805914998259,9.828551431342629e-17,6.463826876743972e-40
0.006724427423484249,9.2571832671871e-17,5.891053463303735e-40
0.006913203779678127,8.714537368913665e-17,5.3783256597727155e-40
0.007107279696773419,8.199354326799717e-17,4.919348730033386e-40
0.007306803950529507,7.710425655632848e-17,4.508487836777603e-40
0.007511929493320969,7.246591708584409e-17,4.140698862159369e-40
0.007722813571388642,6.806739678353556e-17,3.811466480761378e-40
0.007939617845382276,6.389801682162582e-17,3.516748724590281e-40
0.008162508514287228,5.994752927322975e-17,3.252927359518787e-40
0.00839165644283016,5.6206099542246e-17,3.0167634639407658e-40
0.00862723729246145,5.266428953726474e-17,2.805357664273432e-40
0.008869431656014705,4.931304156048295e-17,2.6161145391135094e-40
0.00911842519614657,4.614366288376354e-17,2.446710755033182e-40
0.009374408787663,4.3147810985063433e-17,2.295066542815412e-40
0.009637578663841089,4.0317479419490694e-17,2.1593201639390917e-40
0.009908136566858666,3.7644984300231624e-17,2.0378050538361663e-40
0.010186289902446875,3.512295136551948e-17,1.929029361305865e-40
0.010472251898884344,3.2744303608694216e-17,1.8316576328890027e-40
0.010766241770454932,3.0502249449232894e-17,1.7444944173391606e-40
0.01106848488549412,2.8390271423416986e-17,1.666469588900919e-40
0.01137921293915315,2.640211537403654e-17,1.5966252092070744e-40
0.01169866413101307,2.453178011922916e-17,1.5341037664966912e-40
0.012027083347685121,2.2773507581199732e-17,1.478137647765208e-40
0.01236472235053715,2.11217733561812e-17,1.428039714594718e-40
0.012711839968690289,1.9571277707564666e-17,1.3831948669624035e-40
0.013068702297433463,1.811693696466591e-17,1.3430524914546949e-40
0.013435582902208263,1.675387531009013e-17,1.3071197011724971e-40
0.013812763028320095,1.5477416939127215e-17,1.2749552843325798e-40
0.014200531816536832,1.4283078575040248e-17,1.2461642872708148e-40
0.014599186524739786,1.3166562324519458e-17,1.2203931653415934e-40
0.015009032755797366,1.2123748857949427e-17,1.197325442179758e-40
0.015430384691835646,1.115069089949531e-17,1.1766778240326098e-40
0.015863565335085896,1.0243607012344374e-17,1.1581967214563733e-40
0.016308906755493326,9.398875664755992e-18,1.1416551356727567e-40
0.01676675034527699,8.613029562870501e-18,1.1268498713581035e-40
0.0172374470806362,7.882750236513395e-18,1.1135990416452281e-40
0.017721357790803586,7.2048628645084e-18,1.1017398347054942e-40
0.01821885343465167,6.5763313262812995e-18,1.0911265144900357e-40
0.018730315385064367,5.994253466804787e-18,1.081628631083773e-40
0.019256135721291985,5.4558565622002395e-18,1.0731294186991952e-40
0.019796717529513324,4.958492973584789e-18,1.0655243616404953e-40
0.020352475211835776,4.499635977029241e-18,1.0587199106307179e-40
0.020923834803969768,4.076875757782896e-18,1.0526323337405206e-40
0.021511234301821672,3.68791555722363e-18,1.0471866878095492e-40
0.02211512399725489,3.3305679613139088e-18,1.0423158977306375e-40
0.022735966823277175,3.0027513196838665e-18,1.0379599322911465e-40
0.02337423870891815,2.7024862848289075e-18,1.0340650664511087e-40
0.024030428944069697,2.4278924612997318e-18,1.0305832209988834e-40
0.024705040554568253,2.177185155183171e-18,1.0274713714748782e-40
0.025398590687807265,1.9486722146216152e-18,1.0246910191041697e-40
0.026111611009174595,1.740750952601049e-18,1.0222077172399794e-40
0.026844648109619625,1.5519051437512948e-18,1.019990647501331e-40
0.027598263924661803,1.3807020874494066e-18,1.0180122403981437e-40
0.028373036165162114,1.2257897300960888e-18,1.01624783578302e-40
0.02916955876018796,1.0858938400454514e-18,1.0146753789577586e-40
0.02998844231231028,9.598152293084656e-19,1.0132751487001673e-40
0.030830314565682772,8.464270168166791e-19,1.0120295138684233e-40
0.03169582088726115,7.446719287230095e-19,1.0109227155908859e-40
0.03258562476153226,6.535596319250941e-19,1.0099406723631208e-40
0.033500408299131326,5.721640977200558e-19,1.0090708056549154e-40
0.034440872759738235,4.996209932307127e-19,1.0083018838815977e-40
0.035407739089652696,4.351250989767806e-19,1.0076238828191661e-40
0.03640174847446141,3.7792775169244653e-19,1.0070278607443416e-40
0.03742366290721981,3.273343122070505e-19,1.0065058467611176e-40
0.03847426577258506,2.827016588996191e-19,1.0060507409369795e-40
0.039554362447347016,2.434357079030078e-19,1.005656225016598e-40
0.04066478091781858,2.0898896186027547e-19,1.005316682610321e-40
0.04180637241455758,1.7885808961671852e-19,1.005027127870735e-40
0.04298001206490798,1.5258153975696858e-19,1.0047831417743745e-40
0.04418659956385941,1.2973719136032052e-19,1.0045808152186231e-40
0.04542705986374043,1.09940045741351e-19,1.004416698227063e-40
0.04670234388327335,9.283996326087033e-20,1.004287754631073e-40
0.048013429236534504,7.811944952863593e-20,1.0041913216622098e-40
0.049361320982379164,6.549149547003762e-20,1.0041250739496707e-40
0.05074705239490466,5.469747579125468e-20,1.0040869914706814e-40
0.05217168575554349,4.550511034985828e-20,1.0040753310495908e-40
0.053636313167392397,3.770649282089022e-20,1.0040886010444168e-40
0.05514205739240302,3.111619084403117e-20,1.0041255388980637e-40
0.05669007271207434,2.556942154943572e-20,1.004185091265925e-40
0.058281545812308454,2.0920305993552256e-20,1.0042663964624862e-40
0.05991769669310619,1.704020559899696e-20,1.0043687689972493e-40
0.06159977960380169,1.3816143192911716e-20,1.0044916859951383e-40
0.06332908400455114,1.1149310686332744e-20,1.004634775318842e-40
0.06510693555481462,8.953664844091545e-21,1.004797805230512e-40
0.0669346971295866,7.1546119728228e-21,1.004980675448219e-40
0.0688137698641567,5.6877817164564495e-21,1.0051834094686434e-40
0.07074559422819879,4.497889507164945e-21,1.0054061480419843e-40
0.07273165113001454,3.537686588051025e-21,1.0056491436980823e-40
0.07477346305177587,2.7669959144739097e-21,1.0059127562344605e-40
0.07687259521663728,2.15183166561827e-21,1.0061974490875432e-40
0.07903065678861347,1.6635995674704235e-21,1.0065037865178307e-40
0.08124930210614047,1.278374752171824e-21,1.0068324315483801e-40
0.08353023195026779,9.762534645631974e-22,1.0071841446037262e-40
0.0858751948484517,7.407745806174998e-22,1.0075597828033784e-40
