Frequency (Hz),White Hole B-mode Correlation,Inflationary B-mode Correlation,Cross-Correlation (WH),Cross-Correlation (Inflation)
0.0012770633013086446,7.817703176700169e-22,1.6639503045812998e-21,7.538212738424689e-38,1.604462474283252e-37
0.0013129145852124654,6.563432627645759e-22,1.4362044043159158e-21,6.049607112461291e-38,1.323769568792583e-37
0.0013497723302339417,5.491941272844949e-22,1.235478394892648e-21,4.838215849380678e-38,1.0884149801988914e-37
0.0013876647909813085,4.579550294500399e-22,1.059146783701048e-21,3.855675425725699e-38,8.917308389552369e-38
0.0014266210152607385,3.8052204843693365e-22,9.047679184503237e-22,3.0614667076569066e-38,7.279254571107411e-38
0.0014666708663439686,3.150312468207869e-22,7.700785861667736e-22,2.4217423246392505e-38,5.919831522234177e-38
0.001507845045861051,2.5983628959567504e-22,6.529881033362599e-22,1.9083141118010818e-38,4.795736632376655e-38
0.0015501751173357704,2.134875999754119e-22,5.51571942236027e-22,1.4977808273991212e-38,3.8697042830945e-38
0.001593693530381776,1.7471299283024086e-22,4.640649439119876e-22,1.1707785647448178e-38,3.109770373572463e-38
0.0016384336455779846,1.4239972694939992e-22,3.8885417292502494e-22,9.113382639502358e-39,2.4886121235978285e-38
0.001684429760042315,1.1557791741059728e-22,3.244714728168715e-22,7.06336510199516e-39,1.982957063974162e-38
0.0017317171337233527,9.34052492416592e-23,2.6958578415246905e-22,5.450274020057895e-39,1.5730554840035857e-38
0.0017803320164301137,7.515293333890367e-23,2.2299528891981386e-22,4.1864470314906647e-39,1.2422109475419402e-38
0.0018303116756206129,6.019284532203472e-23,1.8361944596957621e-22,3.200647719971619e-39,9.763638152354246e-39
0.0018816944249705557,4.7985787715606063e-23,1.5049098203712754e-22,2.435219063707589e-39,7.637230226267647e-39
0.0019345196537440444,3.807081560873291e-23,1.2274790171526559e-22,1.843687642648362e-39,5.944416633447138e-39
0.0019888278569888096,3.0055565809926693e-23,9.962557756723773e-23,1.3887543252534669e-39,4.603322147629654e-39
0.0020446606665791177,2.360752952986652e-23,8.044897844137183e-23,1.0406152778512904e-39,3.546175212773056e-39
0.002102060883130158,1.8446208832612466e-23,6.462509004847449e-23,7.755643632885442e-40,2.7171391840309936e-39
0.0021610725088083765,1.4336097529247458e-23,5.16355770900873e-23,5.748344089420144e-40,2.070431397136166e-39
0.0022217407810628848,1.1080427873558353e-23,4.1029730797184174e-23,4.236405070243068e-40,1.568698984943434e-39
0.0022841122073038256,8.515625375310515e-24,3.241773978762161e-23,3.1039353476754315e-40,1.1816227697178827e-39
0.0023482346005542763,6.506415282666659e-24,2.5464315820554974e-23,2.2605651413506083e-40,8.84722880287728e-40
0.002414157116103018,4.941525802589178e-24,1.98826994678789e-23,1.6362032981850416e-40,6.58341972617441e-40
0.002481930289186255,3.729934919616645e-24,1.5429064089483413e-23,1.176787446710547e-40,4.867840679875103e-40
0.0025516060737271863,2.79760972438669e-24,1.1897329941105532e-23,8.408564280695347e-41,3.575890614991287e-40
0.0026232378821631234,2.0846894517270785e-24,9.114393903860574e-24,5.9680037388628e-41,2.6092489147793424e-40
0.0026968806263906924,1.5430659258693458e-24,6.935774334534426e-24,4.2066643688329695e-41,1.8908119396722776e-40
0.002772590759860481,1.1343177840192814e-24,5.2416650111954606e-24,2.9441775808585275e-41,1.3604999260127897e-40
0.0028504263208534346,8.279576618670094e-25,3.933387186563319e-24,2.0456011637398158e-41,9.718058998487312e-41
0.0029304469769721444,5.999544357188218e-25,2.930224437455417e-24,1.4106516337448885e-41,6.889733026114209e-41
0.003012714070881164,4.314955845562476e-25,2.1666213651928342e-24,9.653148270574207e-42,4.847029270510181e-41
0.0030972906673314067,3.079577202754795e-25,1.589724288236498e-24,6.553518502173193e-42,3.383025282494122e-41
0.003184241601504653,2.180562957128373e-25,1.1572398804646954e-24,4.413059274543886e-42,2.3420411553180974e-41
0.0032736335287152475,1.5314840033795214e-25,8.355862303590428e-25,2.946899203001174e-42,1.6078446727814807e-41
0.0033655349755070943,1.0666535864813066e-25,5.983099920088197e-25,1.9509624610870438e-42,1.0943387331149738e-41
0.003460016392185109,7.36545265257442e-26,4.24743115229513e-25,1.2802229528454449e-42,7.382654004161437e-42
0.0035571502068213858,5.0412211179950344e-26,2.9887301237513956e-25,8.32467665956669e-43,4.935354216883136e-42
0.003657010880777493,3.4192001076232935e-26,2.084008666188994e-25,5.36269601325701e-43,3.2685729451304956e-42
0.003759674965785468,2.2974969151729008e-26,1.4396402726574825e-25,3.421518410823817e-43,2.1439661856913975e-42
0.003865221162631262,1.529019665591063e-26,9.849998615869921e-26,2.1615094083639152e-43,1.3924519847391307e-42
0.003973730381485609,1.0075852277986689e-26,6.673120052732781e-26,1.35169056730272e-43,8.952089789430561e-43
0.004085285803928565,6.572652641715716e-27,4.475194088559134e-26,8.36479514861403e-44,5.695429812233907e-43
0.004199972946715306,4.24293071945873e-27,2.9700323727523294e-26,5.121105205128966e-44,3.5847505531374323e-43
0.004317879727332021,2.7097566885184277e-27,1.9500672452260122e-26,3.100782867007613e-44,2.231467913385107e-43
0.004439096531392171,1.7116024666305277e-27,1.2663280954569764e-26,1.856280110812203e-44,1.373367766866454e-43
0.0045637162819247585,1.0689299383178188e-27,8.130488272896427e-27,1.098352162558743e-44,8.35427941259434e-44
0.004691834510607799,6.598284119553506e-28,5.159676190486089e-27,6.42130361110205e-45,5.021282314276512e-44
0.004823549431001467,4.024445393301169e-28,3.235351881159056e-27,3.7080181645213774e-45,2.980968151270033e-44
0.004958962013837212,2.4245332871648084e-28,2.0038614120556927e-27,2.1142045307600295e-45,1.7473766595869194e-44
0.005098176064420424,1.4422716767852713e-28,1.2254924901630302e-27,1.1898271141776174e-45,1.0109913523831261e-44
0.0052412983022060615,8.468535616606882e-29,7.397686891582204e-28,6.60683275197583e-46,5.77139688098172e-45
0.005388438442608223,4.906288161380005e-29,4.4062052898822725e-28,3.61835988087552e-46,3.2495515802168274e-45
