Frequency (Hz),White Hole Total SGWB,White Hole Polarized SGWB,Binary Black Hole Total SGWB,Binary Black Hole Polarized SGWB
0.0007140151304013404,4.880109812630387e-15,1.464032943789116e-15,4.449867538808256e-16,4.4498675388082563e-17
0.0007340598369757212,4.672216856665354e-15,1.401665056999606e-15,4.364110977668387e-16,4.364110977668387e-17
0.0007546672630843886,4.472928444961874e-15,1.3418785334885621e-15,4.279886671704273e-16,4.2798866717042733e-17
0.0007758532060787836,4.2818927453706054e-15,1.2845678236111817e-15,4.197166427915962e-16,4.197166427915962e-17
0.0007976339067929281,4.0987722643137925e-15,1.2296316792941376e-15,4.1159225731725306e-16,4.115922573172531e-17
0.0008200260619934131,3.92324326310348e-15,1.1769729789310441e-15,4.0361279449435964e-16,4.036127944943597e-17
0.0008430468371788967,3.754995198006161e-15,1.1264985594018483e-15,3.957755882208734e-16,3.9577558822087345e-17
0.0008667138797389233,3.593730183087748e-15,1.0781190549263242e-15,3.8807802165417806e-16,3.880780216541781e-17
0.0008910453324821513,3.4391624749120112e-15,1.0317487424736034e-15,3.805175263367053e-16,3.8051752633670535e-17
0.0009160598475443709,3.2910179782033132e-15,9.87305393460994e-16,3.730915813384531e-16,3.730915813384531e-17
0.000941776600686952,3.149033771620829e-15,9.447101314862488e-16,3.657977124161225e-16,3.657977124161225e-17
0.0009682153059967086,3.0129576528258197e-15,9.038872958477459e-16,3.586334911885835e-16,3.5863349118858355e-17
0.0009953962309984233,2.8825477020571527e-15,8.647643106171458e-16,3.5159653432840383e-16,3.5159653432840385e-17
0.0010233402121916423,2.757571863461885e-15,8.272715590385655e-16,3.44684502769162e-16,3.44684502769162e-17
0.0010520686710236227,2.6378075434586496e-15,7.913422630375948e-16,3.378951009282894e-16,3.378951009282894e-17
0.0010816036303107094,2.523041225440662e-15,7.569123676321986e-16,3.3122607594517086e-16,3.312260759451709e-17
0.0011119677311206989,2.413068100153676e-15,7.239204300461028e-16,3.2467521693425786e-16,3.2467521693425787e-17
0.0011431842501291502,2.307691711111006e-15,6.923075133333017e-16,3.18240354252937e-16,3.18240354252937e-17
0.0011752771174629451,2.206723614433807e-15,6.620170843301421e-16,3.119193587839111e-16,3.119193587839111e-17
0.001208270935044776,2.109983052529655e-15,6.329949157588965e-16,3.0571014123184823e-16,3.0571014123184825e-17
0.0012421909954526173,2.017296641046384e-15,6.051889923139152e-16,2.9961065143406293e-16,2.9961065143406294e-17
0.0012770633013086446,1.928498068560988e-15,5.785494205682964e-16,2.936188776849949e-16,2.936188776849949e-17
0.0013129145852124654,1.8434278084853986e-15,5.530283425456196e-16,2.8773284607425463e-16,2.8773284607425463e-17
0.0013497723302339417,1.7619328426920244e-15,5.285798528076073e-16,2.819506198380083e-16,2.819506198380083e-17
0.0013876647909813085,1.6838663963821931e-15,5.051599189146579e-16,2.7627029872348224e-16,2.7627029872348226e-17
0.0014266210152607385,1.6090876837399885e-15,4.827263051219965e-16,2.7069001836636463e-16,2.7069001836636464e-17
0.0014666708663439686,1.5374616639326044e-15,4.612384991797813e-16,2.652079496808882e-16,2.6520794968088822e-17
0.001507845045861051,1.4688588070362018e-15,4.406576421108605e-16,2.598222982623803e-16,2.5982229826238032e-17
0.0015501751173357704,1.403154869483404e-15,4.209464608450212e-16,2.5453130380207096e-16,2.5453130380207096e-17
0.001593693530381776,1.3402306786449476e-15,4.0206920359348427e-16,2.493332395139497e-16,2.4933323951394973e-17
0.0016384336455779846,1.279971926173804e-15,3.8399157785214116e-16,2.442264115734645e-16,2.4422641157346453e-17
0.001684429760042315,1.2222689697552076e-15,3.666806909265623e-16,2.392091585678602e-16,2.392091585678602e-17
0.0017317171337233527,1.167016642920545e-15,3.5010499287616354e-16,2.3427985095795586e-16,2.3427985095795588e-17
0.0017803320164301137,1.1141140725969531e-15,3.3423422177908594e-16,2.294368905511591e-16,2.2943689055115915e-17
0.0018303116756206129,1.06346450407785e-15,3.1903935122335496e-16,2.2467870998552087e-16,2.246787099855209e-17
0.0018816944249705557,1.014975133112424e-15,3.044925399337272e-16,2.2000377222463234e-16,2.2000377222463234e-17
