Multipole Moment (l),White Hole Detection Ratio (CMB-S4)
1711.7234468937877,1.0193532167878852e-197
1717.7154308617235,-1.2867809708855663e-199
1723.7074148296595,-5.304597183401692e-200
1729.6993987975952,-2.2493703696874827e-202
1735.6913827655312,1.0453510466108875e-203
1741.683366733467,-5.774972428422994e-206
1747.675350701403,-1.5412178379269772e-207
1753.6673346693387,-3.8738390009786726e-209
1759.6593186372747,-3.812488641948762e-210
1765.6513026052105,-1.2721408642733049e-211
1771.6432865731465,-8.049611764027566e-214
1777.6352705410823,-5.513185116821831e-215
1783.6272545090183,2.046983948386474e-217
1789.619238476954,-3.432722924140334e-219
1795.61122244489,-6.617541893795273e-221
1801.6032064128258,9.7875933384417e-222
1807.5951903807616,-8.451602740167184e-224
1813.5871743486975,3.69149341727404e-225
1819.5791583166333,1.3319131937464808e-227
1825.5711422845693,-1.3872678932014577e-228
1831.563126252505,1.5489316791384181e-230
1837.555110220441,-2.5458049016447627e-232
1843.5470941883768,3.72273344302804e-234
1849.5390781563128,-5.123257900393679e-236
1855.5310621242486,1.6542070149051887e-237
1861.5230460921846,1.3118329576531395e-239
1867.5150300601204,6.093373312737029e-241
1873.5070140280563,6.655903924359885e-243
1879.498997995992,-3.7270522198499334e-244
1885.4909819639279,6.355899896213114e-246
1891.4829659318639,-9.676842955952207e-248
1897.4749498997996,-1.414438763438209e-248
1903.4669338677356,-1.2255153516524461e-251
1909.4589178356714,1.3784798165222235e-253
1915.4509018036074,8.383743237348178e-255
1921.4428857715432,-5.8742034854713595e-257
1927.4348697394792,-5.868845849951482e-259
1933.426853707415,-1.8936550477649908e-260
1939.418837675351,-2.329115273105031e-260
1945.4108216432867,-2.088339850162705e-263
1951.4028056112227,4.52955148785182e-265
1957.3947895791584,8.566097282869294e-268
1963.3867735470944,-7.555364406995774e-269
1969.3787575150302,-1.3783669762204968e-270
1975.370741482966,-4.93853915203711e-271
1981.362725450902,-2.197361679859293e-275
1987.3547094188377,-4.2527193383377596e-277
1993.3466933867737,1.715172852546884e-278
1999.3386773547095,5.113869774188919e-281
2005.3306613226455,-1.550490873835083e-282
2011.3226452905812,1.1271485080484165e-283
2017.3146292585172,2.7015855241109117e-286
2023.306613226453,-8.255217494136128e-288
2029.298597194389,4.0908454337555416e-290
2035.2905811623248,2.9735221217347795e-291
2041.2825651302608,-4.1513876767563776e-293
2047.2745490981965,-4.559103477653589e-296
2053.2665330661325,-4.371221414175593e-298
2059.258517034068,-2.1275684479532627e-299
2065.250501002004,6.875346935045571e-302
2071.24248496994,-2.056936493286135e-303
2077.234468937876,-1.0425177186874353e-305
2083.2264529058116,7.515301693298795e-307
2089.2184368737476,2.545638828937814e-309
2095.2104208416836,-8.710794131477e-311
2101.2024048096196,2.13823155063e-313
2107.194388777555,-1.50401457e-314
2113.186372745491,-2.214359e-317
2119.178356713427,0.0
2125.170340681363,0.0
2131.1623246492986,0.0
2137.1543086172346,0.0
2143.1462925851706,-0.0
2149.138276553106,-0.0
2155.130260521042,0.0
2161.122244488978,0.0
2167.114228456914,0.0
2173.1062124248497,-0.0
2179.0981963927857,0.0
2185.0901803607217,0.0
2191.0821643286577,0.0
2197.074148296593,0.0
2203.066132264529,0.0
2209.058116232465,0.0
2215.050100200401,0.0
2221.0420841683367,-0.0
2227.0340681362727,0.0
2233.0260521042087,-0.0
2239.0180360721442,-0.0
2245.0100200400802,0.0
2251.0020040080162,-0.0
2256.993987975952,0.0
2262.9859719438878,0.0
2268.9779559118238,0.0
2274.9699398797597,-0.0
2280.9619238476957,-0.0
2286.9539078156313,-0.0
2292.9458917835673,-0.0
2298.9378757515033,0.0
2304.9298597194393,-0.0
2310.921843687375,0.0
2316.913827655311,-0.0
2322.905811623247,0.0
2328.8977955911823,0.0
2334.8897795591183,-0.0
2340.8817635270543,0.0
2346.8737474949903,-0.0
2352.865731462926,-0.0
2358.857715430862,0.0
2364.849699398798,-0.0
2370.841683366734,-0.0
2376.8336673346694,0.0
2382.8256513026054,0.0
2388.8176352705414,-0.0
2394.8096192384774,-0.0
2400.801603206413,0.0
2406.793587174349,-0.0
2412.785571142285,0.0
