Frequency (Hz),Total SGWB,Polarized SGWB
0.00862723729246145,5.266428953726474e-17,1.579928686117942e-17
0.008869431656014705,4.931304156048295e-17,1.4793912468144885e-17
0.00911842519614657,4.614366288376354e-17,1.3843098865129062e-17
0.009374408787663,4.3147810985063433e-17,1.294434329551903e-17
0.009637578663841089,4.0317479419490694e-17,1.2095243825847207e-17
0.009908136566858666,3.7644984300231624e-17,1.1293495290069488e-17
0.010186289902446875,3.512295136551948e-17,1.0536885409655843e-17
0.010472251898884344,3.2744303608694216e-17,9.823291082608265e-18
0.010766241770454932,3.0502249449232894e-17,9.150674834769868e-18
0.01106848488549412,2.8390271423416986e-17,8.517081427025095e-18
0.01137921293915315,2.640211537403654e-17,7.920634612210962e-18
0.01169866413101307,2.453178011922916e-17,7.359534035768747e-18
0.012027083347685121,2.2773507581199732e-17,6.832052274359919e-18
0.01236472235053715,2.11217733561812e-17,6.33653200685436e-18
0.012711839968690289,1.9571277707564666e-17,5.8713833122694e-18
0.013068702297433463,1.811693696466591e-17,5.4350810893997734e-18
0.013435582902208263,1.675387531009013e-17,5.0261625930270394e-18
0.013812763028320095,1.5477416939127215e-17,4.643225081738164e-18
0.014200531816536832,1.4283078575040248e-17,4.284923572512075e-18
0.014599186524739786,1.3166562324519458e-17,3.9499686973558374e-18
0.015009032755797366,1.2123748857949427e-17,3.637124657384828e-18
0.015430384691835646,1.115069089949531e-17,3.345207269848593e-18
0.015863565335085896,1.0243607012344374e-17,3.073082103703312e-18
0.016308906755493326,9.398875664755992e-18,2.8196626994267974e-18
0.01676675034527699,8.613029562870501e-18,2.58390886886115e-18
0.0172374470806362,7.882750236513395e-18,2.3648250709540183e-18
0.017721357790803586,7.2048628645084e-18,2.16145885935252e-18
0.01821885343465167,6.5763313262812995e-18,1.9728993978843898e-18
0.018730315385064367,5.994253466804787e-18,1.798276040041436e-18
0.019256135721291985,5.4558565622002395e-18,1.6367569686600718e-18
0.019796717529513324,4.958492973584789e-18,1.4875478920754367e-18
0.020352475211835776,4.499635977029241e-18,1.3498907931087722e-18
0.020923834803969768,4.076875757782896e-18,1.2230627273348687e-18
0.021511234301821672,3.68791555722363e-18,1.1063746671670889e-18
0.02211512399725489,3.3305679613139088e-18,9.991703883941726e-19
0.022735966823277175,3.0027513196838665e-18,9.008253959051599e-19
0.02337423870891815,2.7024862848289075e-18,8.107458854486722e-19
0.024030428944069697,2.4278924612997318e-18,7.283677383899196e-19
0.024705040554568253,2.177185155183171e-18,6.531555465549513e-19
0.025398590687807265,1.9486722146216152e-18,5.846016643864846e-19
0.026111611009174595,1.740750952601049e-18,5.222252857803147e-19
0.026844648109619625,1.5519051437512948e-18,4.655715431253885e-19
0.027598263924661803,1.3807020874494066e-18,4.1421062623482197e-19
0.028373036165162114,1.2257897300960888e-18,3.677369190288266e-19
0.02916955876018796,1.0858938400454514e-18,3.257681520136354e-19
0.02998844231231028,9.598152293084656e-19,2.8794456879253966e-19
0.030830314565682772,8.464270168166791e-19,2.539281050450037e-19
0.03169582088726115,7.446719287230095e-19,2.2340157861690285e-19
0.03258562476153226,6.535596319250941e-19,1.9606788957752822e-19
0.033500408299131326,5.721640977200558e-19,1.7164922931601675e-19
0.034440872759738235,4.996209932307127e-19,1.4988629796921381e-19
0.035407739089652696,4.351250989767806e-19,1.3053752969303417e-19
0.03640174847446141,3.7792775169244653e-19,1.1337832550773395e-19
0.03742366290721981,3.273343122070505e-19,9.820029366211514e-20
0.03847426577258506,2.827016588996191e-19,8.481049766988573e-20
0.039554362447347016,2.434357079030078e-19,7.303071237090233e-20
0.04066478091781858,2.0898896186027547e-19,6.269668855808264e-20
0.04180637241455758,1.7885808961671852e-19,5.3657426885015555e-20
0.04298001206490798,1.5258153975696858e-19,4.5774461927090576e-20
0.04418659956385941,1.2973719136032052e-19,3.892115740809615e-20
0.04542705986374043,1.09940045741351e-19,3.2982013722405296e-20
0.04670234388327335,9.283996326087033e-20,2.78519889782611e-20
0.048013429236534504,7.811944952863593e-20,2.343583485859078e-20
0.049361320982379164,6.549149547003762e-20,1.9647448641011285e-20
0.05074705239490466,5.469747579125468e-20,1.64092427373764e-20
0.05217168575554349,4.550511034985828e-20,1.3651533104957482e-20
0.053636313167392397,3.770649282089022e-20,1.1311947846267065e-20
0.05514205739240302,3.111619084403117e-20,9.33485725320935e-21
0.05669007271207434,2.556942154943572e-20,7.670826464830716e-21
0.058281545812308454,2.0920305993552256e-20,6.2760917980656764e-21
0.05991769669310619,1.704020559899696e-20,5.112061679699088e-21
0.06159977960380169,1.3816143192911716e-20,4.144842957873514e-21
0.06332908400455114,1.1149310686332744e-20,3.344793205899823e-21
0.06510693555481462,8.953664844091545e-21,2.6860994532274634e-21
0.0669346971295866,7.1546119728228e-21,2.14638359184684e-21
0.0688137698641567,5.6877817164564495e-21,1.706334514936935e-21
0.07074559422819879,4.497889507164945e-21,1.3493668521494834e-21
0.07273165113001454,3.537686588051025e-21,1.0613059764153074e-21
0.07477346305177587,2.7669959144739097e-21,8.300987743421729e-22
0.07687259521663728,2.15183166561827e-21,6.45549499685481e-22
0.07903065678861347,1.6635995674704235e-21,4.99079870241127e-22
0.08124930210614047,1.278374752171824e-21,3.835124256515472e-22
0.08353023195026779,9.762534645631974e-22,2.928760393689592e-22
0.0858751948484517,7.407745806174998e-22,2.2223237418524994e-22
0.0882859884149515,5.584066284529447e-22,1.6752198853588342e-22
0.09076446072885357,4.180958028021469e-22,1.2542874084064407e-22
0.0933125117507825,3.108703382773325e-22,9.326110148319975e-23
0.09593209477938242,2.2949655369457137e-22,6.884896610837141e-23
0.09862521794868784,1.6818189550280717e-22,5.045456865084215e-23
0.10139394576752918,1.2232038783571813e-22,3.669611635071544e-23
0.10424040070215568,8.827603336625178e-23,2.648281000987553e-23
0.10716676480328632,6.31998954572278e-23,1.895996863716834e-23
0.11017528137883874,4.4876819797772426e-23,1.3463045939331726e-23
0.11326825671361537,3.159801411795433e-23,9.4794042353863e-24
0.11644806183726866,2.2055988912608467e-23,6.61679667378254e-24
0.1197171343418967,1.525866181548805e-23,4.577598544646415e-24
0.12307798025066646,1.0459735253855704e-23,3.137920576156711e-24
0.1265331759388943,7.102763888012534e-24,2.13082916640376e-24
0.13008537010905705,4.776628583675027e-24,1.432988575102508e-24
0.13373728582124964,3.1804217645290074e-24,9.541265293587021e-25
0.1374917225806419,2.0960205096675663e-24,6.288061529002699e-25
0.14135155848353956,1.3668753526037626e-24,4.1006260578112877e-25
0.14531975242368952,8.817721281533661e-25,2.645316384460098e-25
0.14939934636052576,5.625301203785424e-25,1.687590361135627e-25
0.1535934676510897,3.547818026459496e-25,1.0643454079378487e-25
0.15790533144741759,2.2113801073743273e-25,6.634140322122982e-26
0.1623382431612278,1.3617845944424223e-25,4.0853537833272667e-26
0.16689560099780248,8.282259021257322e-26,2.4846777063771965e-26
0.17158089856100048,4.973164772802814e-26,1.491949431840844e-26
0.1763977275314045,2.9471656879843006e-26,8.841497063952902e-27
0.18134978041964955,1.7230725183629017e-26,5.169217555088705e-27
0.18644085339704872,9.934934165778583e-27,2.9804802497335747e-27
0.1916748492056815,5.647020595086402e-27,1.6941061785259205e-27
0.19705578015018002,3.1629508098481218e-27,9.488852429544364e-28
0.2025877711735017,1.7450386410464174e-27,5.235115923139252e-28
0.20827506301905144,9.479229312939846e-28,2.8437687938819537e-28
0.21412201548157292,5.067654968582261e-28,1.5202964905746784e-28
0.220133110749303,2.665093288637664e-28,7.995279865912991e-29
0.22631295683995295,1.3781263540757206e-28,4.1343790622271615e-29
0.2326662911331458,7.003758510427551e-29,2.1011275531282652e-29
0.23919798400202397,3.4964496127065213e-29,1.0489348838119563e-29
0.2459130425468044,1.713799116863787e-29,5.141397350591361e-30
0.25281661443315007,8.243383886411032e-30,2.4730151659233095e-30
0.2599139918382933,3.8889670949380146e-30,1.1666901284814044e-30
0.2672106155079435,1.798497575810204e-30,5.395492727430612e-31
0.27471207892708116,8.14871948482465e-31,2.444615845447395e-31
0.2824241326078436,3.615122846798121e-31,1.0845368540394361e-31
0.29035268849778134,1.5694741982612299e-31,4.7084225947836896e-32
0.29850382451187324,6.663751128007358e-32,1.9991253384022072e-32
0.30688378919176423,2.765320384209595e-32,8.295961152628785e-33
0.31549900649580886,1.1208700099149905e-32,3.3626100297449715e-33
0.32435608072358113,4.434670234197369e-33,1.3304010702592105e-33
0.33346180157863625,1.711468170396113e-33,5.134404511188339e-34
0.34282314937339703,6.43835005072924e-34,1.931505015218772e-34
0.35244730038015837,2.359211876094071e-34,7.077635628282214e-35
0.36234163233231503,8.41444540023446e-35,2.524333620070338e-35
0.372513730080021,2.9189108605903586e-35,8.756732581771075e-36
