Multipole Moment (l),CMB-S4 SNR,LISA SGWB SNR,Joint Detectability SNR
693.0861723446894,2.0094758780229456e-20,1.8828914961401138e-129,2.0094758780229456e-20
699.0781563126253,6.134013504506968e-21,1.1526250905665213e-129,6.134013504506968e-21
705.0701402805612,1.845735719448474e-21,4.223586849929287e-130,1.845735719448474e-21
711.0621242484971,5.474660150703627e-22,1.0894469709833038e-130,5.474660150703627e-22
717.054108216433,1.6006916194624545e-22,7.131472166741699e-131,1.6006916194624545e-22
723.0460921843688,4.6133992025224676e-23,3.36847462365036e-131,4.6133992025224676e-23
729.0380761523047,1.3106817728093217e-23,6.317131363686349e-132,1.3106817728093217e-23
735.0300601202405,3.670593930900222e-24,4.4057638377625964e-132,3.670593930900222e-24
741.0220440881764,1.01330056106889e-24,2.4943963118388076e-132,1.01330056106889e-24
747.0140280561122,2.757421024807158e-25,5.830287859150189e-133,2.757421024807158e-25
753.0060120240481,7.396576287230841e-26,2.6897459616835545e-133,7.396576287230841e-26
758.997995991984,1.955785660692335e-26,1.7327453630145305e-133,1.955785660692335e-26
764.9899799599199,5.097704219567616e-27,7.75744764345506e-134,5.097704219567616e-27
770.9819639278558,1.3097574190683423e-27,1.6127649770191673e-134,1.3097574190683423e-27
776.9739478957916,3.317187039258898e-28,1.1404431293823064e-134,3.317187039258898e-28
782.9659318637275,8.281555394872614e-29,6.681212817454456e-135,8.281555394872614e-29
788.9579158316634,2.0380588537207512e-29,1.9579943410858475e-135,2.0380588537207512e-29
794.9498997995993,4.9440674802718074e-30,7.168450707819032e-136,4.9440674802718074e-30
800.9418837675352,1.182265228809001e-30,4.870600268760392e-136,1.182265228809001e-30
806.933867735471,2.786816047616878e-31,2.5727498297017532e-136,2.786816047616878e-31
812.9258517034069,6.47536937813969e-32,4.32924535727054e-137,6.47536937813969e-32
818.9178356713428,1.4831451305984825e-32,3.2272913766418572e-137,1.4831451305984825e-32
824.9098196392786,3.3486180351184413e-33,2.125337396013196e-137,3.3486180351184413e-33
830.9018036072144,7.452644961903196e-34,1.0233834153845134e-137,7.452644961903196e-34
836.8937875751503,1.6350013336180744e-34,2.0027252321208437e-138,1.6350013336180744e-34
842.8857715430862,3.53580779419586e-35,1.4818146129339032e-138,3.53580779419586e-35
848.8777555110221,7.53740836028306e-36,9.60903993746963e-139,7.53740836028306e-36
854.869739478958,1.5838655030293964e-36,4.399933745600227e-139,1.5838655030293964e-36
860.8617234468938,3.28078230071221e-37,9.394869270574106e-140,3.28078230071221e-37
866.8537074148297,6.698836614634077e-38,6.967582480529187e-140,6.698836614634077e-38
872.8456913827656,1.3482928024601619e-38,4.5402956904842685e-140,1.3482928024601619e-38
878.8376753507015,2.6750500096062867e-39,2.1130089004393497e-140,2.6750500096062867e-39
884.8296593186374,5.231695435268794e-40,4.4700558521502554e-141,5.231695435268794e-40
890.8216432865732,1.0085927919020894e-40,3.3551526153123716e-141,1.0085927919020894e-40
896.8136272545091,1.916691095799482e-41,2.240249378474488e-141,1.916691095799482e-41
902.805611222445,3.590469560134699e-42,1.1253461416366045e-141,3.590469560134699e-42
908.7975951903808,6.629995469344116e-43,2.1526123672536993e-142,6.629995469344116e-43
914.7895791583167,1.2068077006078852e-43,1.6478214456389172e-142,1.2068077006078852e-43
920.7815631262525,2.165338373816019e-44,1.1430305240241351e-142,2.165338373816019e-44
926.7735470941884,3.829802081274941e-45,6.382396024093529e-143,3.829802081274941e-45
932.7655310621243,6.677128708947105e-46,1.3344868079457062e-143,6.677128708947105e-46
938.7575150300602,1.1475352192221619e-46,8.197842674562348e-144,1.1475352192221619e-46
944.749498997996,1.944039825739842e-47,5.944930601853122e-144,1.944039825739842e-47
950.7414829659319,3.2464382791376605e-48,3.6920185291438964e-144,3.2464382791376605e-48
956.7334669338678,5.3440683248189444e-49,1.4391064564346703e-144,5.3440683248189444e-49
962.7254509018037,8.671609493436837e-50,4.099312945519925e-145,8.671609493436837e-50
968.7174348697396,1.38704413688555e-50,3.1081721176317686e-145,1.38704413688555e-50
974.7094188376755,2.186974444898927e-51,2.1170312897436123e-145,2.186974444898927e-51
