Frequency (Hz),SGWB Anisotropy,CMB B-mode Correlation,Cross-Correlation
0.0011752771174629451,1.1033618072169037e-16,1.2959076658555754e-21,1.429855024184647e-37
0.001208270935044776,1.0549915262648276e-16,1.0984050468209163e-21,1.1588080168025879e-37
0.0012421909954526173,1.008648320523192e-16,9.281327696645908e-22,9.361595593447282e-38
0.0012770633013086446,9.64249034280494e-17,7.817703176700169e-22,7.538212738424689e-38
0.0013129145852124654,9.217139042426993e-17,6.563432627645759e-22,6.049607112461291e-38
0.0013497723302339417,8.809664213460122e-17,5.491941272844949e-22,4.838215849380678e-38
0.0013876647909813085,8.419331981910966e-17,4.579550294500399e-22,3.855675425725699e-38
0.0014266210152607385,8.045438418699943e-17,3.8052204843693365e-22,3.0614667076569066e-38
0.0014666708663439686,7.687308319663023e-17,3.150312468207869e-22,2.4217423246392505e-38
0.001507845045861051,7.34429403518101e-17,2.5983628959567504e-22,1.9083141118010818e-38
0.0015501751173357704,7.01577434741702e-17,2.134875999754119e-22,1.4977808273991212e-38
0.001593693530381776,6.701153393224738e-17,1.7471299283024086e-22,1.1707785647448178e-38
0.0016384336455779846,6.39985963086902e-17,1.4239972694939992e-22,9.113382639502358e-39
0.001684429760042315,6.111344848776038e-17,1.1557791741059728e-22,7.06336510199516e-39
0.0017317171337233527,5.835083214602725e-17,9.34052492416592e-23,5.450274020057895e-39
0.0017803320164301137,5.570570362984765e-17,7.515293333890367e-23,4.1864470314906647e-39
0.0018303116756206129,5.31732252038925e-17,6.019284532203472e-23,3.200647719971619e-39
0.0018816944249705557,5.07487566556212e-17,4.7985787715606063e-23,2.435219063707589e-39
0.0019345196537440444,4.842784724121975e-17,3.807081560873291e-23,1.843687642648362e-39
0.0019888278569888096,4.620622795910872e-17,3.0055565809926693e-23,1.3887543252534669e-39
0.0020446606665791177,4.407980413769175e-17,2.360752952986652e-23,1.0406152778512904e-39
0.002102060883130158,4.204464832455786e-17,1.8446208832612466e-23,7.755643632885442e-40
0.0021610725088083765,4.0096993464872795e-17,1.4336097529247458e-23,5.748344089420144e-40
0.0022217407810628848,3.8233226357192964e-17,1.1080427873558353e-23,4.236405070243068e-40
0.0022841122073038256,3.6449881375415124e-17,8.515625375310515e-24,3.1039353476754315e-40
0.0023482346005542763,3.474363444603422e-17,6.506415282666659e-24,2.2605651413506083e-40
0.002414157116103018,3.3111297270323496e-17,4.941525802589178e-24,1.6362032981850416e-40
0.002481930289186255,3.154981178147459e-17,3.729934919616645e-24,1.176787446710547e-40
0.0025516060737271863,3.0056244827139806e-17,2.79760972438669e-24,8.408564280695347e-41
0.0026232378821631234,2.862778306820979e-17,2.0846894517270785e-24,5.9680037388628e-41
0.0026968806263906924,2.7261728085032934e-17,1.5430659258693458e-24,4.2066643688329695e-41
0.002772590759860481,2.5955491682641925e-17,1.1343177840192814e-24,2.9441775808585275e-41
0.0028504263208534346,2.4706591386896184e-17,8.279576618670094e-25,2.0456011637398158e-41
0.0029304469769721444,2.3512646123780188e-17,5.999544357188218e-25,1.4106516337448885e-41
0.003012714070881164,2.2371372074413128e-17,4.314955845562476e-25,9.653148270574207e-42
0.0030972906673314067,2.1280578698630544e-17,3.079577202754795e-25,6.553518502173193e-42
0.003184241601504653,2.0238164920289813e-17,2.180562957128373e-25,4.413059274543886e-42
0.0032736335287152475,1.9242115467731036e-17,1.5314840033795214e-25,2.946899203001174e-42
0.0033655349755070943,1.829049736309338e-17,1.0666535864813066e-25,1.9509624610870438e-42
0.003460016392185109,1.7381456554445072e-17,7.36545265257442e-26,1.2802229528454449e-42
0.0035571502068213858,1.6513214684932393e-17,5.0412211179950344e-26,8.32467665956669e-43
