Time (s),Observed Photon Flux,Approx. Photon Energy (MeV),Predicted Time Delay (s)
58.98650000000001,1.715670444e-08,0.01715670444,1.9675778501405798e-07
60.303499999999985,1.740710416e-08,0.01740710416,2.0115082414781757e-07
61.45849999999999,1.681782092e-08,0.01681782092,2.0500348944735624e-07
62.400499999999994,2.347179912e-08,0.02347179912,2.0814566322412284e-07
63.0292,1.546241144e-08,0.01546241144,2.1024278069063367e-07
63.584299999999985,1.641868796e-08,0.01641868796,2.1209439498307855e-07
64.1131,1.515474556e-08,0.015154745560000002,2.1385828191848642e-07
64.638,1.530378496e-08,0.01530378496,2.1560915985418154e-07
65.1902,1.946498708e-08,0.01946498708,2.1745110078786574e-07
65.73060000000001,1.476780204e-08,0.01476780204,2.1925368115831657e-07
66.37799999999999,1.324243104e-08,0.01324243104,2.2141317511062933e-07
66.9777,1.46907672e-08,0.0146907672,2.234135589895327e-07
67.494,1.653545596e-08,0.01653545596,2.2513575041304075e-07
68.02949999999998,1.64836366e-08,0.0164836366,2.269219861428268e-07
68.5625,1.567358708e-08,0.015673587080000002,2.28699882770233e-07
69.08859999999999,1.965288388e-08,0.01965288388,2.3045476347507044e-07
69.5891,1.796964824e-08,0.01796964824,2.3212425177153722e-07
70.1805,1.467027584e-08,0.01467027584,2.3409694983053908e-07
70.69550000000001,1.68512422e-08,0.0168512422,2.3581480492080962e-07
71.243,1.532445788e-08,0.015324457880000001,2.3764106834201945e-07
71.773,1.683343152e-08,0.01683343152,2.3940895804656964e-07
72.25819999999999,1.900590728e-08,0.01900590728,2.410274110364711e-07
72.8089,1.494384048e-08,0.014943840479999998,2.428643485087273e-07
73.3535,1.799356076e-08,0.01799356076,2.4468093857117645e-07
73.8517,1.67399388e-08,0.0167399388,2.4634275489345364e-07
74.4032,1.87790356e-08,0.0187790356,2.4818236087847145e-07
74.88759999999999,1.828975632e-08,0.01828975632,2.497981453556113e-07
75.3928,1.595794208e-08,0.01595794208,2.5148331116455237e-07
75.91409999999999,1.84986678e-08,0.0184986678,2.532221807928203e-07
76.44399999999999,2.070881192e-08,0.02070881192,2.5498973693327533e-07
76.93969999999999,1.74799204e-08,0.017479920399999998,2.5664321415317253e-07
77.4486,1.76038618e-08,0.0176038618,2.58340721833636e-07
78.03739999999999,1.35081708e-08,0.0135081708,2.603047472261627e-07
78.6175,1.557849236e-08,0.015578492360000001,2.6223975254240723e-07
79.1765,1.52984414e-08,0.015298441400000001,2.6410437583456486e-07
79.72200000000001,1.580253384e-08,0.01580253384,2.659239679738708e-07
80.2585,1.501277276e-08,0.015012772760000001,2.677135393446089e-07
80.857,1.401417496e-08,0.01401417496,2.697099204543698e-07
81.40780000000001,1.792008592e-08,0.01792008592,2.715471914907213e-07
81.93969999999999,1.491981404e-08,0.01491981404,2.7332141891308015e-07
82.5652,1.223153344e-08,0.01223153344,2.7540786232854463e-07
83.2457,1.2919596e-08,0.012919596,2.7767776599636806e-07
83.90639999999999,1.481365128e-08,0.01481365128,2.7988162397334224e-07
84.5607,1.137798784e-08,0.01137798784,2.8206413384822375e-07
85.2003,1.722827112e-08,0.01722827112,2.8419760980111113e-07
85.81889999999999,1.338081892e-08,0.01338081892,2.8626103729400686e-07
86.49119999999999,1.105485376e-08,0.01105485376,2.8850358870602405e-07
87.21529999999998,1.30176206e-08,0.0130176206,2.9091892631935385e-07
87.9914,1.186721728e-08,0.01186721728,2.935077172621868e-07
88.61689999999999,1.37952136e-08,0.0137952136,2.9559416067765115e-07
89.32820000000001,1.239786376e-08,0.012397863759999999,2.979668020867957e-07
90.01149999999998,1.23974864e-08,0.0123974864,3.0024604554928457e-07
90.8699,9.3951426e-09,0.0093951426,3.031093597424656e-07
91.63909999999998,1.351557916e-08,0.013515579160000001,3.056751347627297e-07
92.44039999999998,9.34091312e-09,0.00934091312,3.083479838575525e-07
93.37109999999998,1.005463616e-08,0.01005463616,3.1145246489156167e-07
94.12809999999999,1.161947332e-08,0.01161947332,3.139775450922117e-07
94.88909999999998,1.027445548e-08,0.01027445548,3.1651596785666965e-07
95.68459999999999,1.151561032e-08,0.01151561032,3.1916947023397094e-07
96.578,1.021432708e-08,0.01021432708,3.221495318604713e-07
97.3657,9.58269764e-09,0.009582697639999999,3.2477701623834713e-07
98.2955,8.08017828e-09,0.00808017828,3.278784951954996e-07
99.3869,1.018793324e-08,0.010187933239999999,3.315190137304922e-07
100.3255,7.97079372e-09,0.007970793720000001,3.3464984632802205e-07
101.2507,9.85688528e-09,0.00985688528,3.377359813367953e-07
102.0659,1.107392468e-08,0.01107392468,3.4045519584085067e-07
102.97809999999998,9.21075596e-09,0.009210755959999999,3.4349796751724814e-07
103.9196,9.11957724e-09,0.009119577240000001,3.466384734735388e-07
104.7466,1.171757624e-08,0.01171757624,3.4939704854082755e-07
105.49090000000001,1.112256496e-08,0.011122564960000001,3.518797661013874e-07
106.35329999999999,1.006244324e-08,0.01006244324,3.5475642285837623e-07
107.2378,8.78144488e-09,0.00878144488,3.5770679728040387e-07
108.30449999999999,8.58210624e-09,0.00858210624,3.6126492548388257e-07
109.3115,7.42428744e-09,0.00742428744,3.6462391592252794e-07
110.33859999999999,9.52740728e-09,0.009527407279999999,3.6804995274430813e-07
111.30449999999999,8.58206708e-09,0.00858206708,3.712718483398271e-07
112.32050000000001,8.08711672e-09,0.00808711672,3.746608595470404e-07
113.4145,7.56240476e-09,0.0075624047600000004,3.7831005074850817e-07
114.4632,1.061684204e-08,0.010616842040000001,3.818081374148512e-07
115.4305,7.2624e-09,0.0072624000000000005,3.850347029077029e-07
116.5421,8.97081196e-09,0.00897081196,3.8874260138992557e-07
117.4965,7.76690184e-09,0.007766901840000001,3.9192613711449673e-07
